,Name,Address,Upřesnění polohy,Telefon,Příjem,Cena za samoodběr,Způsob rezervace,Odkaz na rezervační systém,DRIVE-IN,Calendar
0,#NaŽádanku.cz – Odběrové centrum Praha 15 (H. Měcholupy),"Park na křižovatce ulic Ravennská a Milánská, Praha 15, 109 00","Zelené oplocení v parku na křižovatce ulic Ravennská a Milánská, vchod uprostřed parku",+420774605535,Osoby se žádánkou (od lékaře/KHS),,Přes webové stránky na přesný čas,www.nazadanku.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 79 z 140     Čt 2.9.   Volná kapacita 298 z 353     Pá 3.9.   Volná kapacita 268 z 295     So 4.9.   Volná kapacita 329 z 345     Ne 5.9.   Volná kapacita 306 z 322     Po 6.9.   Volná kapacita 147 z 153
1,#Vyšetři.mě – Odběrové centrum Praha 15 (H. Měcholupy),"Park na křižovatce ulic Ravennská a Milánská, Praha 15, 109 00","Zelené oplocení v parku na křižovatce ulic Ravennská a Milánská, vchod uprostřed parku",+420771156107,Osoby se žádankou i samoplátce,,Přes webové stránky,www.vysetri.me,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 121 z 123     Čt 2.9.   Volná kapacita 132 z 137     Pá 3.9.   Volná kapacita 192 z 193     So 4.9.   Volná kapacita 145 z 145     Ne 5.9.   Volná kapacita 150 z 156     Po 6.9.   Volná kapacita 111 z 111
2,#Vyšetři.mě – Odběrové centrum Praha 6 (Ruzyně),Drnovská 1112/60 161 00 Praha 6 - Ruzyně,"Příjezdová cesta zezadu budovy (naproti adrese Pilotů 78, Praha 6 - Ruzyně)",+420771156107,Osoby se žádankou i samoplátce,,Přes webové stránky,www.vysetri.me,Ano,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 103 z 104     Čt 2.9.   Volná kapacita 102 z 106     Pá 3.9.   Volná kapacita 97 z 103     So 4.9.   Volná kapacita 128 z 131     Ne 5.9.   Volná kapacita 128 z 131     Po 6.9.   Volná kapacita 105 z 105
3,AESKULAB - odběrové místo VIVO Hostivař,"Praha 10, Švehlova 1391/32","Odběrové místo - OC VIVO Hostivař, parkoviště",+420800737383,Osoby se žádankou i samoplátce,,www.rezervace.aeskulab.cz,rezervace.aeskulab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
4,"AESKULAB Praha 6 - OM poliklinika DAM, Brixiho","Brixiho 1968/1, 162 00 Praha 6 - Břevnov","Poliklinika DAM, samostatný vchod vpravo z Brixiho ulice",+420800737383,Osoby se žádankou i samoplátce,,Přes webové stránky,rezervace.aeskulab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Volná kapacita22 z 105     Čt 2.9.   Volná kapacita23 z 105     Pá 3.9.   Volná kapacita30 z 105     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita27 z 105
5,AESKULAB Praha 8 - Mazurská,"Mazurská 484/2, 181 00 Praha 8 - Troja",Parkoviště polikliniky Mazurská,+420800737383,Osoby se žádankou i samoplátce,,Přes webové stránky,rezervace.aeskulab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Volná kapacita 139 z 192     Čt 2.9.   Volná kapacita 182 z 192     Pá 3.9.   Volná kapacita 157 z 192     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 205 z 192
6,AESKULAB Praha Čs.exilu,"Čs.exilu 2175/36, Praha 12",,+420800737383,Osoby se žádankou i samoplátce,,Elektronický rezervační systém,rezervace.aeskulab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Zavřeno     Čt 2.9.   Volná kapacita 48 z 60     Pá 3.9.   Zavřeno     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 59 z 60
7,AESKULAB Praha Vajgarská,"Vajgarská 1141, Praha 9",,+420800737383,Osoby se žádankou i samoplátce,,Elektronický rezervační systém,rezervace.aeskulab.cz,Ne,Út 31.8.   Zavřeno     St 1.9.   Volná kapacita 82 z 80     Čt 2.9.   Zavřeno     Pá 3.9.   Zavřeno     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Zavřeno
8,AKESO holding - odběrové místo Praha Eden,"Vladivostocká 1539, 100 00 Praha 10-Vršovice",Hotel IRIS Eden - Sinobo Stadium,+420725101101,Osoby se žádankou i samoplátce,,Online rezervační portál nebo telefonní linka,www.antigenni-testy-covid.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
9,AKESO holding - odběrové místo Praha Chlumecká,"Chlumecká 2420, Praha 9, Černý Most, 198 29",Parkoviště u vstupu do Sconto nábytek,+420725101101,Osoby se žádankou i samoplátce,,Online rezervační portál nebo telefonní linka,www.antigenni-testy-covid.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
