,Calendar
0,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 53 z 67     Út 18.5.   Volná kapacita 61 z 67     St 19.5.   Volná kapacita 67 z 67     Čt 20.5.   Volná kapacita 67 z 67     Pá 21.5.   Volná kapacita 66 z 67     So 22.5.   Volná kapacita 72 z 72
1,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 56 z 56     Út 18.5.   Volná kapacita 58 z 58     St 19.5.   Volná kapacita 58 z 58     Čt 20.5.   Volná kapacita 58 z 58     Pá 21.5.   Volná kapacita 58 z 58     So 22.5.   Volná kapacita 59 z 59
2,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 97 z 129     Út 18.5.   Volná kapacita 115 z 129     St 19.5.   Volná kapacita 121 z 129     Čt 20.5.   Volná kapacita 125 z 129     Pá 21.5.   Volná kapacita 124 z 129     So 22.5.   Volná kapacita 121 z 122
3,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 64 z 94     Út 18.5.   Volná kapacita 89 z 92     St 19.5.   Volná kapacita 86 z 92     Čt 20.5.   Volná kapacita 82 z 92     Pá 21.5.   Volná kapacita 90 z 92     So 22.5.   Volná kapacita 89 z 91
4,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
5,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Volná kapacita25 z 192     St 19.5.   Volná kapacita22 z 192     Čt 20.5.   Volná kapacita20 z 192     Pá 21.5.   Volná kapacita30 z 192     So 22.5.   Zavřeno
6,Ne 16.5.   Zavřeno     Po 17.5.   Zavřeno     Út 18.5.   Volná kapacita 56 z 60     St 19.5.   Zavřeno     Čt 20.5.   Volná kapacita 59 z 60     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
7,Ne 16.5.   Zavřeno     Po 17.5.   Zavřeno     Út 18.5.   Zavřeno     St 19.5.   Volná kapacita 76 z 80     Čt 20.5.   Zavřeno     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
8,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
9,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
10,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
11,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
12,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
13,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
14,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
15,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 47 z 49     Út 18.5.   Volná kapacita 47 z 50     St 19.5.   Volná kapacita 44 z 48     Čt 20.5.   Volná kapacita 43 z 48     Pá 21.5.   Volná kapacita 44 z 49     So 22.5.   Zavřeno
16,Ne 16.5.   Volná kapacita 32 z 46     Po 17.5.   Volná kapacita 42 z 45     Út 18.5.   Volná kapacita 43 z 46     St 19.5.   Volná kapacita 41 z 46     Čt 20.5.   Volná kapacita 45 z 45     Pá 21.5.   Volná kapacita 44 z 45     So 22.5.   Volná kapacita 44 z 46
17,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 28 z 31     Út 18.5.   Volná kapacita 20 z 30     St 19.5.   Volná kapacita 25 z 30     Čt 20.5.   Volná kapacita 27 z 30     Pá 21.5.   Volná kapacita 29 z 30     So 22.5.   Zavřeno
18,Ne 16.5.   Volná kapacita297 z 758     Po 17.5.   Volná kapacita350 z 758     Út 18.5.   Volná kapacita375 z 910     St 19.5.   Volná kapacita375 z 758     Čt 20.5.   Volná kapacita 382 z 758     Pá 21.5.   Volná kapacita 387 z 758     So 22.5.   Volná kapacita 391 z 758
19,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
